text,timestamp,author,likes,replies,source
Ai,2026-01-07T08:27:09.000Z,kiwa853,50,9,tiktok
👍👍That's great😁🥰 [sticker],2026-01-17T03:09:14.000Z,userlqlir1jen4anan,1,1,tiktok
Ai 100%,2026-01-08T05:23:56.000Z,k.csaroj,10,2,tiktok
real or Madrid 😂,2026-01-09T16:07:32.000Z,favourbillionz671,4,2,tiktok
😂😂😂😂😂😂😂𝒴 𝑒𝓈ℴ 𝓌𝑒,2026-01-17T02:55:29.000Z,i777llopez,1,0,tiktok
omg,2026-01-08T00:37:59.000Z,kkbk57,2,0,tiktok
Technology Technology Technology 😆😆😆😆,2026-01-07T17:02:25.000Z,user8602262476665,21,3,tiktok
technologya😅😅😅,2026-01-07T11:18:18.000Z,ibrahimapouye678,5,0,tiktok
মাশাল্লাহৎঅসাধারণ একটি যন্ত্র তৈরি হয়েছে 🌹🌹🌹🌹🌹❤️❤️❤️❤️,2026-01-12T10:29:13.000Z,md.raju.mia9257,2,0,tiktok
"ওমা গো এটা কেমন যন্ত্র,ডাব যদি আপনার উপরে পড়ে তাহলে কি? করবেন 🥰😁😂🤭🤭🤭🤭",2026-01-08T06:46:53.000Z,msmimakter6625,19,5,tiktok
😁😁😁😁,2026-01-08T00:11:47.000Z,cristavares247,4,0,tiktok
हिहि,2026-01-17T03:16:16.000Z,ganga.aryal33,1,1,tiktok
wow 👌 😂😂😂,2026-01-08T21:45:49.000Z,dianamarriott,2,0,tiktok
this is ai😅😂😃😫😫,2026-01-07T11:52:47.000Z,mdtamimhossen4223,7,0,tiktok
ok,2026-01-17T03:37:33.000Z,dilsher3799,1,0,tiktok
😂😂😂😂,2026-01-17T00:31:41.000Z,demba.diallo220,1,0,tiktok
opo kih 🤔🤔,2026-01-08T05:45:21.000Z,allex.lundung,6,2,tiktok
Next generation will be there Very proud to see that one 🤣🤣🙏,2026-01-13T13:28:13.000Z,estherphiri695,2,0,tiktok
@oii you love ❤️💯❤️,2026-01-17T18:05:01.000Z,user5937375206985,0,0,tiktok
hây quá,2026-01-07T10:59:16.000Z,user06268160,17,1,tiktok
AU ANNÉES 3O JE TRAVAILLAIT COMME ÇA,2026-01-15T08:22:32.000Z,user9515987461869,1,0,tiktok
simple release stress 👌👌😅,2026-01-08T00:18:40.000Z,1thesonofnature,3,0,tiktok
technology,2026-01-08T13:01:57.000Z,eunicejames960,4,0,tiktok
0k,2026-01-11T21:29:52.000Z,hamadi.lih,1,0,tiktok
55555😂😂😂😂,2026-01-12T15:20:04.000Z,dy54b6ofswxt,1,0,tiktok
nice 👍,2026-01-12T12:00:10.000Z,user30114415677443,1,0,tiktok
nice machine☺️☺️☺️,2026-01-07T10:50:49.000Z,joseph.cyclone,9,0,tiktok
atar,2026-01-11T19:40:44.000Z,yusuphkamwe,1,0,tiktok
gen koze wi la,2026-01-11T21:26:29.000Z,ilsaindouard.esti,1,0,tiktok
Que coisa é essa mesmo hein,2026-01-08T00:10:27.000Z,diioceli,1,0,tiktok
"ॐ,,ँ",2026-01-18T10:24:19.000Z,aashisbhojraj,0,0,tiktok
keren 😄,2026-01-10T06:00:21.000Z,inahmarlina3,0,0,tiktok
😂😂,2026-01-08T01:06:08.000Z,yubelka.rivas1,1,0,tiktok
🤣🤣🤣🤣,2026-01-07T22:37:18.000Z,corinasilva45,0,0,tiktok
😁😁😁,2026-01-07T14:33:43.000Z,catrachobanegas127,0,0,tiktok
"ॐ,,ँ",2026-01-18T10:24:34.000Z,aashisbhojraj,0,0,tiktok
"ॐ,,ँ",2026-01-18T10:24:43.000Z,aashisbhojraj,0,0,tiktok
