text,timestamp,author,likes,replies,source
Salomão sente muito orgulho👏👏👏,2025-12-16T21:33:21.000Z,roger_o.a,0,0,instagram
Que sortudo 😮😮😮😮😮😮,2025-12-18T00:24:07.000Z,jussaracaciar,0,0,instagram
E vc aí pagando a faculdade de enfermagem da sua namorada 😂😂😂😂😂,2025-12-17T19:27:29.000Z,luan_freitas1202,0,0,instagram
A história tá contada pela metade. Elas trabalhavam em centro de fertilização. O médico fez o procedimento de algumas enfermeiras.,2025-12-17T02:15:38.000Z,bartyfag,0,0,instagram
14 pensões Alimentícias 😂😂😂😂😂😂😂😂,2025-12-16T22:15:31.000Z,samuelalexandre671,0,0,instagram
Melhor é que ele reuniu todas para tirar a mesma foto e sorrindo ainda kkkkk,2025-12-18T17:28:21.000Z,danielviannafs,0,0,instagram
Tá feito o plantão pro resto da vida 😂😂😂,2025-12-19T00:17:45.000Z,danilofreitas2000,0,0,instagram
Já deixa o contracheque no hospital mesmo 😂,2025-12-16T21:30:14.000Z,guilhermegnomoskater,0,0,instagram
😮😮😮😮😮,2025-12-31T12:28:50.000Z,arymarques12_crvg,0,0,instagram
Hahahaja,2025-12-18T00:43:05.000Z,euapatroaeascriancas.tv,0,0,instagram
"TRABALHO BOM DESSE PESSOAL NÉ, EITA COMO ESSE MÉDICO TRABALHA 😂😂😂😂😂😂😂😂",2025-12-17T01:00:10.000Z,777kal888,0,0,instagram
E se as 14 tiverem gêmeos ?,2025-12-16T21:51:05.000Z,fabiano10021,0,0,instagram
😂😂😂 pensão vai comer solta 😂😂😂😂,2025-12-19T23:46:00.000Z,leandromaestroidb,0,0,instagram
14 Pensões. Meus parabéns 👏👏👏👏 um grande feito,2025-12-17T20:28:51.000Z,silasmcav,0,0,instagram
Tá deixando mais confortável pra quando ele voltar pra la😍,2026-01-15T16:45:36.000Z,eobiel_silv21,0,0,instagram
Faz L esse ano de novo,2026-01-16T12:37:30.000Z,alexanderdejesusazevedoab,0,0,instagram
Jaja ele vai tá lá aproveitando as televisão dele kkkk,2026-01-16T13:33:14.000Z,_.ludmilaaa__,0,0,instagram
"Quem disse que um controle e uma televisão, vai socializar eles ?",2026-01-16T17:00:58.000Z,alessandrogdantas,0,0,instagram
Esse infeliz não pode ganhar  nunca mais,2026-01-16T09:31:17.000Z,maria_de_araujo008,0,0,instagram
Querendo ganhar as eleições,2026-01-15T16:06:31.000Z,elianerocha54,0,0,instagram
Legal o preso esta melhor do que pessoas que trabalham e pagam seus impostos. Maravilha isso so Brasil,2026-01-16T01:00:25.000Z,thomazelenir,0,0,instagram
Angariando votos 😂,2026-01-15T15:28:08.000Z,rebecaassef,0,0,instagram
E os professores só  assistindo pra onde foi o aumento  escorrendo pelo ralo 😂😂😂😂,2026-01-15T23:22:08.000Z,lucimaradiniz_,0,0,instagram
Ele precisa comprar os votos dele,2026-01-16T00:48:14.000Z,__mariaa_heloisa,0,0,instagram
Olha o nível do presidente da esquerda porque não é o meu presidente,2026-01-15T23:27:50.000Z,realesep,0,0,instagram
❤️lulalalalala,2026-01-16T08:17:28.000Z,tiagodelcaro,0,0,instagram
Eu tô apavorado,2026-01-16T00:58:11.000Z,vel.junior,0,0,instagram
Eles gostam do que não presta os políticos do Brasil,2026-01-16T09:32:45.000Z,adalbertotrindade71,0,0,instagram
