text,timestamp,author,likes,replies,source
"My son's charter school has a garden and the school has there own chef that makes the students healthy foods,my son said when he grows up he wants to be a Gardner i guess a garden teacher,anyone know here how can I help him what education does he need?",2021-08-15T20:03:04.000Z,,404,82,facebook
This is one of my favorite stories to date. Good nutrition is at the heart of so many solutions. 💚,2021-08-15T20:01:24.000Z,,445,8,facebook
"I’m blown away! This is so beautiful and wonderful and everyone should know about this program, this man and these children. NYC is so big and actions and beautiful people and stories like this can get lost in the vastness. ❤️❤️❤️",2021-08-15T19:56:25.000Z,,334,2,facebook
Funny how sometimes we just seem to stumble into something and find it’s exactly what we should be doing. Keep planting the seeds.,2021-08-16T02:08:00.000Z,,3,1,facebook
"Mattice Hoyt this made me think of you and the work you do. Even if you’re not gardening anymore, you’re still cultivating something beautiful for the community … and I dig it! ♥️",2021-08-15T20:59:13.000Z,,1,1,facebook
"Love this! Not all classrooms have four walls! In fact, most of the best ones do not.",2021-08-15T20:05:44.000Z,,329,5,facebook
Gardening I important & and rewarding for children.,2021-08-16T17:49:21.000Z,,0,0,facebook
This is such a beautiful story and gives me hope for the tiny garden I've started with my class. 💚💚,2021-08-15T21:27:47.000Z,,1,0,facebook
"I would LOVE IT if Harlem Grown could put together some guidelines for people in other urban spaces interested in starting something similar, based on what Tony and Neveah’s mom and the other volunteers learned along the way. (Like, logistics and little details folks might not think of.) Maybe supported thru a HONY gofundme??",2021-08-15T20:07:27.000Z,,697,14,facebook
"I love this story so much! Offering these children an alternative that brings them nutrition with purpose. You have shown them how much of a difference one person can make in their community, and how consistent dedication and hard work can produce abundant results. God bless you and your beautiful sidekick, Niveah, and all who help with your incredible mission❣️",2021-08-15T21:02:13.000Z,,3,0,facebook
"Connecting people, particularly children, to actual food and where it comes from  It's a beautiful thing that will pay dividends inshallah 
 For the rest of their lives. Poor people are forced to live in food deserts, Where big Macs are plentiful  but real food, not so much. One more facet of systematic racism.
L

70th",2021-08-17T04:13:47.000Z,,2,0,facebook
"My son ended up having to do Summer school, and they all got to work in the school greenhouses. He loved it. He actually enjoyed going to school.",2021-08-15T20:18:06.000Z,,2,0,facebook
